period,entry_time,entry_bar,symbol,direction,entry_price,tp,sl,notional,score,consensus,exit_time,exit_price,exit_reason,net_pnl,ret_pct,capital_after,split
IN_SAMPLE,2026-06-21 16:55:00,20985,SOLUSDT,1,74.01,74.67609,73.63995,4775.811309300424,1.2910428758743606,6,2026-06-21 18:15:00,73.63995,STOP_LOSS,-28.1772867248729,-0.5000000000000083,4747.634022575551,IS_70
IN_SAMPLE,2026-06-24 21:40:00,21906,BTCUSDT,-1,61132.8,60560.04514285715,61450.997142857144,4560.634306286205,-1.3096705010908551,6,2026-06-24 22:40:00,60560.04514285715,TAKE_PROFIT,38.62413532752244,0.9369027054917427,4786.258157903074,IS_70
IN_SAMPLE,2026-06-25 09:55:00,22053,ETHUSDT,1,1620.07,1634.6506299999999,1611.96965,4786.258157903073,1.2529745223003577,6,2026-06-25 11:55:00,1634.6506299999999,TAKE_PROFIT,38.76869107901468,0.8999999999999956,4825.026848982088,IS_70
IN_SAMPLE,2026-06-27 20:25:00,22755,SOLUSDT,1,72.36,73.01124,71.9982,4825.026848982088,1.2884106024572204,6,2026-06-27 22:10:00,73.01124,TAKE_PROFIT,39.08271747675501,0.9000000000000018,4864.109566458843,IS_70
IN_SAMPLE,2026-06-28 15:40:00,22986,SOLUSDT,1,72.04,72.68836,71.6798,4864.109566458843,1.3428656152392902,6,2026-06-28 16:00:00,71.6798,STOP_LOSS,-28.698246442107585,-0.5000000000000084,4835.411320016735,IS_70
IN_SAMPLE,2026-06-30 13:40:00,23538,ETHUSDT,1,1592.25,1606.58025,1584.28875,4835.411320016735,1.3156687942029948,6,2026-06-30 15:35:00,1584.28875,STOP_LOSS,-28.52892678809893,-0.500000000000004,4806.882393228636,IS_70
IN_SAMPLE,2026-07-02 17:40:00,24162,SOLUSDT,1,81.04,81.89474285714287,80.56514285714286,4101.757286448141,1.3344526667633643,6,2026-07-02 17:50:00,81.89474285714287,TAKE_PROFIT,39.57035998125462,1.0547172472147912,4846.452753209891,IS_70
IN_SAMPLE,2026-07-02 17:55:00,24165,SOLUSDT,1,82.07,83.07131428571428,81.51371428571427,3575.036777338906,1.290069799848271,6,2026-07-02 18:00:00,81.51371428571427,STOP_LOSS,-27.449796865654683,-0.6778185869205815,4819.002956344236,IS_70
IN_SAMPLE,2026-07-04 10:25:00,24651,SOLUSDT,1,82.37,83.11133000000001,81.95815,4819.002956344236,1.2658045722098512,6,2026-07-04 11:30:00,83.11133000000001,TAKE_PROFIT,39.033923946388605,0.900000000000006,4858.036880290624,IS_70
IN_SAMPLE,2026-07-06 14:25:00,25275,SOLUSDT,1,80.62,81.34558,80.21690000000001,4858.036880290624,1.295700591932928,6,2026-07-06 16:30:00,80.21690000000001,STOP_LOSS,-28.662417593714373,-0.49999999999999367,4829.37446269691,IS_70
